trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
812,False,"{'a': 0.3, 'e': 0.0002975286604415808}",30,11,34.7315265510903,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
813,False,"{'a': 0.3, 'e': 0.0002945682008057998}",20,5,27.00285148299674,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
814,False,"{'a': 0.3, 'e': 0.0002916371982355737}",20,13,11.9201931321229,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
815,False,"{'a': 0.3, 'e': 0.000288735359628203}",20,12,15.73661264432723,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
816,False,"{'a': 0.3, 'e': 0.0002858623947974087}",25,8,33.25323466879631,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
817,False,"{'a': 0.3, 'e': 0.0002830180164443136}",20,11,18.523505991777974,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
818,False,"{'a': 0.3, 'e': 0.000280201940128712}",20,2,29.766160439038668,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
819,False,"{'a': 0.3, 'e': 0.0002774138842406257}",20,0,32.10758632745878,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
820,False,"{'a': 0.3, 'e': 0.00027465356997214254}",30,18,22.066047055807545,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
821,False,"{'a': 0.3, 'e': 0.00027192072128953476}",25,15,12.722033888674128,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
822,False,"{'a': 0.3, 'e': 0.00026921506490565784}",25,12,23.74915283290261,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
823,False,"{'a': 0.3, 'e': 0.00026653633025261806}",20,8,23.296297194672945,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
824,False,"{'a': 0.3, 'e': 0.00026388424945471793}",20,11,17.284440656996185,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
825,False,"{'a': 0.3, 'e': 0.00026125855730166754}",30,13,29.25967727202785,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
826,False,"{'a': 0.3, 'e': 0.0002586589912220635}",20,6,22.984619425040787,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
827,False,"{'a': 0.3, 'e': 0.00025608529125713156}",20,10,17.39474650410566,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
828,False,"{'a': 0.3, 'e': 0.0002535372000347304}",25,8,28.452833999154514,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
829,False,"{'a': 0.3, 'e': 0.000251014462743614}",30,19,21.130709012835,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
830,False,"{'a': 0.3, 'e': 0.00024851682710795185}",30,24,10.631217519442423,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
831,False,"{'a': 0.3, 'e': 0.00024604404336209853}",30,17,23.895049986276845,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
832,False,"{'a': 0.3, 'e': 0.0002435958642256188}",30,24,10.856782664429183,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
833,False,"{'a': 0.3, 'e': 0.00024117204487855885}",20,11,18.872679754090225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
834,False,"{'a': 0.3, 'e': 0.00023877234293696414}",20,10,18.270146861394295,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
